Course,Location,CRN,Course Title,Instructor,Days,Start Time,End Time,Est Enroll,Act Enroll
ENGL 13186 04,1144 305,14914,Literature University Seminar,"Dhaliwal,Ranjodh Singh",TR,2:00 PM,3:15 PM,16,16
FYS 10101 32,1144 305,14078,Moreau First Year Experience,"Bivin,Ranford",T,12:30 PM,1:20 PM,19,19
FYS 10101 94,1144 305,14004,Moreau First Year Experience,"McCormick,Peter",F,9:25 AM,10:15 AM,19,19
EALC 10151 01,1144 306,21154,1st Yr Readings in Chinese I,"Zhang,Jin",M,3:30 PM,4:20 PM,20,1
EALC 30351 01,1144 306,21158,3rd Yr Readings in Chinese I,"Zhang,Jin",W,3:30 PM,4:20 PM,10,4
ENGL 13186 19,1144 306,21645,Literature University Seminar,"Marshall,Kate",TR,3:30 PM,4:45 PM,16,16
ENGL 30853 01,1144 306,17311,Fiction Writing,"Gearhart,Rebecca",TR,5:05 PM,6:20 PM,15,14
FYS 10101 97,1144 306,14009,Moreau First Year Experience,"Thigpen,Alison",M,2:00 PM,2:50 PM,19,19
HIST 12200 01,1144 306,13642,Western Civ to 1500 Tutorial,"Hobbins,Daniel",F,11:30 AM,12:20 PM,20,14
HIST 22407 03,1144 306,18333,Tutorial World War 2,"Naramore,Susan",F,12:50 PM,1:40 PM,20,12
HIST 22407 04,1144 306,18334,Tutorial World War 2,"Antalyali,Zekeriya Efe",F,2:00 PM,2:50 PM,20,8
PHIL 22652 01,1144 306,20867,Game Theory Discussion,"Rubin,Hannah",F,10:30 AM,11:20 AM,19,19
PHIL 42926 01,1144 306,20874,Game Theory Discussion,"Rubin,Hannah",W,2:00 PM,2:50 PM,14,11
ROSP 20202 07,1144 306,21557,Intermediate Spanish II,"Schaefer,Keith",MWF,9:25 AM,10:15 AM,16,15
ROSP 53000 01,1144 306,14383,Senior Seminar,"Vitulli,Juan",TR,9:30 AM,10:45 AM,18,8
BIOS 60578 01,1144 307,21318,Genomic Signatures,"Ferdig,Michael",TR,12:30 PM,1:45 PM,10,7
EURO 33000 01,1144 307,21050,MES Foundational Seminar,"Sedmak,Clemens",TR,11:00 AM,12:15 PM,12,9
GE 32302 01,1144 307,18268,Conversational German,"Hoeckner,Eva",T,5:05 PM,5:55 PM,12,7
PHIL 83101 01,1144 307,17455,Proseminar,"McDaniel,Kristopher",M,11:00 AM,1:45 PM,10,8
THEO 83002 01,1144 307,13592,Advanced Hebrew,"Winitzer,Abraham",W,8:00 AM,10:45 AM,10,5
THEO 83010 01,1144 307,19853,Intermediate Akkadian,"Winitzer,Abraham",MW,3:30 PM,4:45 PM,10,3
EALC 10002 01,1144 308,13886,Elementary Chinese II,"Ma,Congcong",MWF,10:30 AM,11:20 AM,20,6
EALC 20251 01,1144 308,21155,2nd Yr Readings in Chinese I,"Zhang,Jin",M,3:30 PM,4:20 PM,15,4
EALC 21211 03,1144 308,18209,Second Year Chinese I Drill,"Liu,Jincheng",TR,9:30 AM,10:20 AM,15,11
EALC 30311 03,1144 308,21156,Third Year Chinese I,"Liu,Jincheng",MWF,12:50 PM,1:40 PM,14,5
