"Timestamp,""OccSensor_Log"",""SpaceTemp_Log"""
"10/25/2021 6:45:00 PM,""0.00"",""72.82"""
"10/25/2021 6:30:00 PM,""0.00"",""72.91"""
"10/25/2021 6:15:00 PM,""0.00"",""73.06"""
"10/25/2021 6:00:00 PM,""0.00"",""73.04"""
"10/25/2021 5:45:00 PM,""0.00"",""73.06"""
"10/25/2021 5:30:00 PM,""0.00"",""73.09"""
"10/25/2021 5:15:00 PM,""0.00"",""73.04"""
"10/25/2021 5:00:00 PM,""0.00"",""73.02"""
"10/25/2021 4:45:00 PM,""0.00"",""73.06"""
"10/25/2021 4:30:00 PM,""0.00"",""73.15"""
"10/25/2021 4:15:00 PM,""0.00"",""73.33"""
"10/25/2021 4:00:00 PM,""0.00"",""73.44"""
"10/25/2021 3:45:00 PM,""0.00"",""73.65"""
"10/25/2021 3:30:00 PM,""1.00"",""73.99"""
"10/25/2021 3:15:00 PM,""1.00"",""75.02"""
"10/25/2021 3:00:00 PM,""1.00"",""74.95"""
"10/25/2021 2:45:00 PM,""1.00"",""74.77"""
"10/25/2021 2:30:00 PM,""1.00"",""74.70"""
"10/25/2021 2:15:00 PM,""1.00"",""74.39"""
"10/25/2021 2:00:00 PM,""1.00"",""74.23"""
"10/25/2021 1:45:00 PM,""1.00"",""75.15"""
"10/25/2021 1:30:00 PM,""1.00"",""74.95"""
"10/25/2021 1:15:00 PM,""1.00"",""74.82"""
"10/25/2021 1:00:00 PM,""1.00"",""74.43"""
"10/25/2021 12:45:00 PM,""1.00"",""73.92"""
"10/25/2021 12:30:00 PM,""1.00"",""72.63"""
"10/25/2021 12:15:00 PM,""1.00"",""72.28"""
"10/25/2021 12:00:00 PM,""1.00"",""71.62"""
"10/25/2021 11:45:00 AM,""1.00"",""70.39"""
"10/25/2021 11:30:00 AM,""1.00"",""64.81"""
"10/25/2021 11:15:00 AM,""1.00"",""63.97"""
"10/25/2021 11:00:00 AM,""1.00"",""65.07"""
"10/25/2021 10:45:00 AM,""1.00"",""66.29"""
"10/25/2021 10:30:00 AM,""1.00"",""67.93"""
"10/25/2021 10:15:00 AM,""1.00"",""74.10"""
"10/25/2021 10:00:00 AM,""1.00"",""73.87"""
"10/25/2021 9:45:00 AM,""1.00"",""73.42"""
"10/25/2021 9:30:00 AM,""1.00"",""72.55"""
"10/25/2021 9:15:00 AM,""1.00"",""72.12"""
"10/25/2021 9:00:00 AM,""0.00"",""72.10"""
"10/25/2021 8:45:00 AM,""0.00"",""72.14"""
"10/25/2021 8:30:00 AM,""0.00"",""72.05"""
"10/25/2021 8:15:00 AM,""0.00"",""72.27"""
